Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Great Britain,Great Britain,GB,162.47,242.89,57.32,29.48,bmreports.com,false,
2021-01-01 01:00:00,Great Britain,Great Britain,GB,158.43,238.16,58.44,29.87,bmreports.com,false,
2021-01-01 02:00:00,Great Britain,Great Britain,GB,146.72,224.09,61.46,31.55,bmreports.com,false,
2021-01-01 03:00:00,Great Britain,Great Britain,GB,141.78,218.75,62.64,32.28,bmreports.com,false,
2021-01-01 04:00:00,Great Britain,Great Britain,GB,133.86,209.15,64.86,33.78,bmreports.com,false,
2021-01-01 05:00:00,Great Britain,Great Britain,GB,128.99,203.18,66.29,34.87,bmreports.com,false,
2021-01-01 06:00:00,Great Britain,Great Britain,GB,132.99,207.9,65.2,34.04,bmreports.com,false,
2021-01-01 07:00:00,Great Britain,Great Britain,GB,132.86,207.38,65.26,34.33,bmreports.com,false,
2021-01-01 08:00:00,Great Britain,Great Britain,GB,138.76,213.63,64.0,34.08,bmreports.com,false,
2021-01-01 09:00:00,Great Britain,Great Britain,GB,155.59,232.34,60.31,32.55,bmreports.com,false,
2021-01-01 10:00:00,Great Britain,Great Britain,GB,174.71,254.16,55.84,30.71,bmreports.com,false,
2021-01-01 11:00:00,Great Britain,Great Britain,GB,185.63,268.35,52.21,28.87,bmreports.com,false,
2021-01-01 12:00:00,Great Britain,Great Britain,GB,193.73,277.73,50.12,27.8,bmreports.com,false,
2021-01-01 13:00:00,Great Britain,Great Britain,GB,205.05,289.39,48.61,26.44,bmreports.com,false,
2021-01-01 14:00:00,Great Britain,Great Britain,GB,213.64,299.12,46.99,24.55,bmreports.com,false,
2021-01-01 15:00:00,Great Britain,Great Britain,GB,217.87,304.9,45.26,22.9,bmreports.com,false,
2021-01-01 16:00:00,Great Britain,Great Britain,GB,222.51,310.73,44.45,23.47,bmreports.com,false,
2021-01-01 17:00:00,Great Britain,Great Britain,GB,234.2,323.58,42.91,23.35,bmreports.com,false,
2021-01-01 18:00:00,Great Britain,Great Britain,GB,232.96,322.84,42.67,22.61,bmreports.com,false,
2021-01-01 19:00:00,Great Britain,Great Britain,GB,231.79,322.29,41.85,20.37,bmreports.com,false,
2021-01-01 20:00:00,Great Britain,Great Britain,GB,221.76,312.21,43.26,20.23,bmreports.com,false,
2021-01-01 21:00:00,Great Britain,Great Britain,GB,208.26,297.31,46.33,22.09,bmreports.com,false,
2021-01-01 22:00:00,Great Britain,Great Britain,GB,191.75,278.6,49.65,23.63,bmreports.com,false,
2021-01-01 23:00:00,Great Britain,Great Britain,GB,178.67,260.38,52.9,23.51,bmreports.com,false,
2021-01-02 00:00:00,Great Britain,Great Britain,GB,172.32,252.64,54.65,24.32,bmreports.com,false,
2021-01-02 01:00:00,Great Britain,Great Britain,GB,172.04,252.48,54.71,24.51,bmreports.com,false,
2021-01-02 02:00:00,Great Britain,Great Britain,GB,163.29,241.78,56.95,25.99,bmreports.com,false,
2021-01-02 03:00:00,Great Britain,Great Britain,GB,161.48,239.63,57.39,25.87,bmreports.com,false,
